name,local_name
NSIC 2011 Rc 238,Tubigan 21
NSIC 2011 Rc 240,Tubigan 22
NSIC 2012 Rc 298,Tubigan 23
NSIC 2012 Rc 300,Tubigan 24
NSIC 2012 Rc 302,Tubigan 25
NSIC 2013 Rc 308,Tubigan 26
NSIC 2014 Rc 352,Tubigan 27
NSIC 2014 Rc 354,Tubigan 28
NSIC 2014 Rc 356,Tubigan 29
NSIC 2014 Rc 358,Tubigan 30
NSIC 2014 Rc 360,Tubigan 31
NSIC 2015 Rc 394,Tubigan 32
NSIC 2015 Rc 396,Tubigan 33
NSIC 2015 Rc 398,Tubigan 34
NSIC 2015 Rc 400,Tubigan 35
NSIC 2015 Rc 402,Tubigan 36
NSIC 2016 Rc 436,Tubigan 37
NSIC 2016 Rc 438,Tubigan 38
NSIC 2016 Rc 440,Tubigan 39
NSIC 2016 Rc 442,Tubigan 40
NSIC 2018 Rc 506,Tubigan 41
NSIC 2018 Rc 508,Tubigan 42
NSIC 2018 Rc 510,Tubigan 43
NSIC 2018 Rc 512,Tubigan 44
NSIC 2018 Rc 514,Tubigan 45
NSIC 2019 Rc 580,Tubigan 46
NSIC 2019 Rc 582,Tubigan 47
NSIC 2021 Rc 622,Tubigan 48
NSIC 2021 Rc 624,Tubigan 49
NSIC 2021 Rc 626,Tubigan 50
NSIC 2021 Rc 628,Tubigan 51
NSIC 2021 Rc 630,Tubigan 52
NSIC 2021 Rc 632,Tubigan 53
NSIC 2021 Rc 634,Tubigan 54
NSIC 2021 Rc 636,Tubigan 55
NSIC 2022 Rc 670,Tubigan 56
NSIC 2022 Rc 672,Tubigan 57
NSIC 2022 Rc 674,Tubigan 58
NSIC 2022 Rc 676,Tubigan 59
NSIC 2022 Rc 678,Tubigan 60
NSIC 2022 Rc 680,Tubigan 61
NSIC 2023 Rc 738,Tubigan 62
NSIC 2023 Rc 740,Tubigan 63
NSIC 2011 Rc 242 SR,Japonica 2
NSIC 2012 Rc 304 SR,Japonica 3
NSIC 2013 Rc 342SR,Mabango 4
NSIC 2013 Rc 344SR,Mabango 5
NSIC 2015 Rc 414SR,Japonica 4
NSIC 2016 Rc 460,Zinc rice 1
NSIC 2017 Rc 482SR,Japonica 5
NSIC 2017 Rc 484SR,Japonica 6
NSIC 2019 Rc 584,Japonica 7
NSIC 2021 Rc 648,Zinc Rice 2
NSIC 2022 Rc 684,Zinc Rice 3
NSIC 2011 Rc 21 SR,Malagkit 5
NSIC 2017 Rc 31SR,Malagkit 6
NSIC 2021 Rc 638 SR,Pigmented 1
NSIC 2021 Rc 640 SR,Pigmented 2
NSIC 2021 Rc 642 SR,Pigmented 3
NSIC 2021 Rc 644 SR,Pigmented 4
NSIC 2021 Rc 646 SR,Pigmented 5
NSIC 2023 Rc 730 SR,Pigmented 6
NSIC 2011 Rc 23,Katihan 1
NSIC 2014 Rc 25,Katihan 2
NSIC 2014 Rc 27,Katihan 3
NSIC 2014 Rc 29,Katihan 4
NSIC 2011 Rc 272,Sahod Ulan 2
NSIC 2011 Rc 274,Sahod Ulan 3
NSIC 2011 Rc 276,Sahod Ulan 4
NSIC 2011 Rc 278,Sahod Ulan 5
NSIC 2011 Rc 280,Sahod Ulan 6
NSIC 2011 Rc 282,Sahod Ulan 7
NSIC 2011 Rc 284,Sahod Ulan 8
NSIC 2011 Rc 286,Sahod Ulan 9
NSIC 2011 Rc 288,Sahod Ulan 10
NSIC 2013 Rc 346,Sahod Ulan 11
NSIC 2013 Rc 348,Sahod Ulan 12
NSIC 2015 Rc 416,Sahod Ulan 13
NSIC 2015 Rc 418,Sahod Ulan 14
NSIC 2015 Rc 420,Sahod Ulan 15
NSIC 2015 Rc 422,Sahod Ulan 16
NSIC 2015 Rc 424,Sahod Ulan 17
NSIC 2015 Rc 426,Sahod Ulan 18
NSIC 2015 Rc 428,Sahod Ulan 19
NSIC 2015 Rc 430,Sahod Ulan 20
NSIC 2016 Rc 434,Sahod Ulan 21
NSIC 2016 Rc 472,Sahod Ulan 22
NSIC 2016 Rc 474,Sahod Ulan 23
NSIC 2016 Rc 476,Sahod Ulan 24
NSIC 2016 Rc 478,Sahod Ulan 25
NSIC 2016 Rc 480,GSR 8
NSIC 2019 Rc 568,Sahod Ulan 26
NSIC 2019 Rc 570,Sahod Ulan 27
NSIC 2019 Rc 572,Sahod Ulan 28
NSIC 2019 Rc 574,Sahod Ulan 29
NSIC 2019 Rc 576,Sahod Ulan 30
NSIC 2019 Rc 578,Sahod Ulan 31
NSIC 2020 Rc 592,Sahod Ulan 32
NSIC 2020 Rc 594,Sahod Ulan 33
NSIC 2020 Rc 596,Sahod Ulan 34
NSIC 2020 Rc 598,Sahod Ulan 35
NSIC 2021 Rc 650,Sahod Ulan 36
NSIC 2023 Rc 732,Sahod Ulan 37
NSIC 2023 Rc 734,Sahod Ulan 38
NSIC 2023 Rc 736,Sahod Ulan 39
NSIC 2011 Rc 290,Salinas 6
NSIC 2011 Rc 292,Salinas 7
NSIC 2011 Rc 294,Salinas 8
NSIC 2011 Rc 296,Salinas 9
NSIC 2013 Rc 324,Salinas 10
NSIC 2013 Rc 326,Salinas 11
NSIC 2013 Rc 328,Salinas 12
NSIC 2013 Rc 330,Salinas 13
NSIC 2013 Rc 332,Salinas 14
NSIC 2013 Rc 334,Salinas 15
NSIC 2013 Rc 336,Salinas 16
NSIC 2013 Rc 338,Salinas 17
NSIC 2013 Rc 340,Salinas 18
NSIC 2014 Rc 390,Salinas 19
NSIC 2014 Rc 392,Salinas 20
NSIC 2016 Rc 462,Salinas 21
NSIC 2016 Rc 464,Salinas 22
NSIC 2016 Rc 466,Salinas 23
NSIC 2016 Rc 468,Salinas 24
NSIC 2016 Rc 470,Salinas 25
NSIC 2018 Rc 528,Salinas 26
NSIC 2018 Rc 530,Salinas 27
NSIC 2018 Rc 532,Salinas 28
NSIC 2018 Rc 534,Salinas 29
NSIC 2018 Rc 536,Salinas 30
NSIC 2019 Rc 554,Salinas 31
NSIC 2019 Rc 556,Salinas 32
NSIC 2019 Rc 558,Salinas 33
NSIC 2020 Rc 604,Salinas 34
NSIC 2020 Rc 606,Salinas 35
NSIC 2020 Rc 608,Salinas 36
NSIC 2020 Rc 610,Salinas 37
NSIC 2020 Rc 612,Salinas 38
NSIC 2022 Rc 686,Salinas 39
NSIC 2019 Rc 560,Cordillera 1
NSIC 2019 Rc 562,Cordillera 2
NSIC 2019 Rc 564,Cordillera 3
NSIC 2019 Rc 566,Cordillera 4
NSIC 2020 Rc 600,PangMainit 1
NSIC 2020 Rc 602,PangMainit 2
NSIC 2020 Rc 590,Submarino 2
NSIC 2011 Rc 244H,Mestiso 29
NSIC 2011 Rc 246H,Mestiso 30
NSIC 2011 Rc 248H,Mestiso 31
NSIC 2011 Rc 250H,Mestiso 32
NSIC 2011 Rc 252H,Mestiso 33
NSIC 2011 Rc 254H,Mestiso 34
NSIC 2011 Rc 256H,Mestiso 35
NSIC 2011 Rc 258H,Mestiso 36
NSIC 2011 Rc 260H,Mestiso 37
NSIC 2011 Rc 262H,Mestiso 38
NSIC 2011 Rc 264H,Mestiso 39
NSIC 2011 Rc 266H,Mestiso 40
NSIC 2011 Rc 268H,Mestiso 41
NSIC 2011 Rc 270H,Mestiso 42
NSIC 2012 Rc 306H,Mestiso 43
NSIC 2013 Rc 310H,Mestiso 44
NSIC 2013 Rc 312H,Mestiso 45
NSIC 2013 Rc 314H,Mestiso 46
NSIC 2013 Rc 316H,Mestiso 47
NSIC 2013 Rc 318H,Mestiso 48
NSIC 2013 Rc 320H,Mestiso 49
NSIC 2013 Rc 322H,Mestiso 50
NSIC 2013 Rc 350H,Mestiso 51
NSIC 2014 Rc 362H,Mestiso 52
NSIC 2014 Rc 364H,Mestiso 53
NSIC 2014 Rc 366H,Mestiso 54
NSIC 2014 Rc 368H,Mestiso 55
NSIC 2014 Rc 370H,Mestiso 56
NSIC 2014 Rc 372H,Mestiso 57
NSIC 2014 Rc 374H,Mestiso 58
NSIC 2014 Rc 376H,Mestiso 59
NSIC 2014 Rc 378H,Mestiso 60
NSIC 2014 Rc 380H,Mestiso 61
NSIC 2014 Rc 382H,Mestiso 62
NSIC 2014 Rc 384H,Mestiso 63
NSIC 2014 Rc 386H,Mestiso 64
NSIC 2014 Rc 388H,Mestiso 65
NSIC 2015 Rc 404H,Mestiso 66
NSIC 2015 Rc 406H,Mestiso 67
NSIC 2015 Rc 408H,Mestiso 68
NSIC 2015 Rc 410H,Mestiso 69
NSIC 2015 Rc 412H,Mestiso 70
NSIC 2016 Rc 432H,Mestiso 71
NSIC 2016 Rc 444H,Mestiso 72
NSIC 2016 Rc 446H,Mestiso 73
NSIC 2016 Rc 448H,Mestiso 74
NSIC 2016 Rc 450H,Mestiso 75
NSIC 2016 Rc 452H,Mestiso 76
NSIC 2016 Rc 454H,Mestiso 77
NSIC 2016 Rc 456H,Mestiso 78
NSIC 2016 Rc 458H,Mestiso 79
NSIC 2017 Rc 486H,Mestiso 80
NSIC 2017 Rc 488H,Mestiso 81
NSIC 2017 Rc 490H,Mestiso 82
NSIC 2017 Rc 492H,Mestiso 83
NSIC 2017 Rc 494H,Mestiso 84
NSIC 2017 Rc 496H,Mestiso 85
NSIC 2017 Rc 498H,Mestiso 86
NSIC 2017 Rc 500H,Mestiso 87
NSIC 2017 Rc 502H,Mestiso 88
NSIC 2017 Rc 504H,Mestiso 89
NSIC 2018 Rc 516H,Mestiso 90
NSIC 2018 Rc 518H,Mestiso 91
NSIC 2018 Rc 520H,Mestiso 92
NSIC 2018 Rc 522H,Mestiso 93
NSIC 2018 Rc 524H,Mestiso 94
NSIC 2018 Rc 526H,Mestiso 95
NSIC 2018 Rc 538H,Mestiso 96
NSIC 2018 Rc 540H,Mestiso 97
NSIC 2018 Rc 542H,Mestiso 98
NSIC 2018 Rc 544H,Mestiso 99
NSIC 2018 Rc 546H,Mestiso 100
NSIC 2018 Rc 548H,Mestiso 101
NSIC 2019 Rc 550H,Mestiso 102
NSIC 2019 Rc 552H,Mestiso 103
NSIC 2019 Rc 586H,Mestiso 104
NSIC 2019 Rc 588H,Mestiso 105
NSIC 2020 Rc 614H,Mestiso 106
NSIC 2020 Rc 616H,Mestiso 107
NSIC 2020 Rc 618H,Mestiso 108
NSIC 2021 Rc 620H,Mestiso 109
NSIC 2021 Rc 652H,Mestiso 110
NSIC 2021 Rc 654H,Mestiso 111
NSIC 2021 Rc 656H,Mestiso 112
NSIC 2021 Rc 658H,Mestiso 113
NSIC 2021 Rc 660H,Mestiso 114
NSIC 2021 Rc 662H,Mestiso 115
NSIC 2021 Rc 664H,Mestiso 116
NSIC 2021 Rc 666H,Mestiso 117
NSIC 2021 Rc 668H,Mestiso 118
NSIC 2022 Rc 688H,Mestiso 119
NSIC 2022 Rc 690H,Mestiso 120
NSIC 2022 Rc 692H,Mestiso 121
NSIC 2022 Rc 694H,Mestiso 122
NSIC 2022 Rc 696H,Mestiso 123
NSIC 2022 Rc 698H,Mestiso 124
NSIC 2022 Rc 700H,Mestiso 125
NSIC 2022 Rc 702H,Mestiso 126
NSIC 2022 Rc 704H,Mestiso 127
NSIC 2022 Rc 706H,Mestiso 128
NSIC 2022 Rc 708H,Mestiso 129
NSIC 2022 Rc 710H,Mestiso 130
NSIC 2022 Rc 712H,Mestiso 131
NSIC 2022 Rc 714H,Mestiso 132
NSIC 2022 Rc 716H,Mestiso 133
NSIC 2022 Rc 718H,Mestiso 134
NSIC 2022 Rc 720H,Mestiso 135
NSIC 2022 Rc 722H,Mestiso 136
NSIC 2022 Rc 724H,Mestiso 137
NSIC 2022 Rc 726H,Mestiso 138
NSIC 2022 Rc 728H,Mestiso 139
NSIC 2023 Rc 742H,Mestiso 140
NSIC 2023 Rc 744H,Mestiso 141
NSIC 2023 Rc 746H,Mestiso 142
NSIC 2023 Rc 748H,Mestiso 143
NSIC 2023 Rc 750H,Mestiso 144
NSIC 2023 Rc 752H,Mestiso 145
NSIC 2023 Rc 754H,Mestiso 146
NSIC 2023 Rc 756H,Mestiso 147
NSIC 2023 Rc 758H,Mestiso 148
PSB Rc2,NAHALIN
PSB Rc4,MOLAWIN
PSB Rc6,CARRANGLAN
PSB Rc8,TALAVERA
PSB Rc10,PAGSANJAN
PSB Rc18,ALA
PSB Rc20,CHICO
PSB Rc22,LILIW
PSB Rc28,AGNO
PSB Rc30,AGUS
PSB Rc32,JARO
PSB Rc34,BURDAGOL
PSB Rc52,GANDARA
PSB Rc54,ABRA
PSB Rc56,DAPITAN
PSB Rc58,MAYAPA
PSB Rc64,KABACAN
PSB Rc66,AGUSAN
PSB Rc74,AKLAN
PSB Rc78,PAMPANGA
PSB Rc80,PASIG
PSB Rc82,PEÃ‘ARANDA
IR69726-29-1-2-2-2,MATATAG2
NSIC Rc110,TUBIGAN 1
NSIC Rc112,TUBIGAN 2
IR73885-1-4-3-2-1-6,MATATAG 9
NSIC Rc118,MATATAG 3
NSIC Rc120,MATATAG 6
NSIC Rc122,ANGELICA
NSIC Rc128,MABANGO 1
NSIC Rc130,TUBIGAN 3
NSIC Rc134,TUBIGAN 4
NSIC Rc138,TUBIGAN 5
NSIC Rc140,TUBIGAN 6
NSIC Rc142,TUBIGAN 7
NSIC Rc144,TUBIGAN 8
NSIC Rc146,PJ7
NSIC Rc148,MABANGO 2
NSIC Rc150,TUBIGAN 9
NSIC Rc152,TUBIGAN 10
NSIC Rc154,TUBIGAN 11
NSIC Rc156,TUBIGAN 12
NSIC Rc158,TUBIGAN 13
NSIC Rc160,TUBIGAN 14
NSIC Rc170,MS 11
NSIC Rc172,MS 13
NSIC Rc212,TUBIGAN 15
NSIC Rc214,TUBIGAN 16
NSIC Rc216,TUBIGAN 17
NSIC Rc218 SR,MABANGO 3
NSIC Rc220 SR,JAPONICA 1
NSIC Rc222,TUBIGAN 18
NSIC 2010 Rc224,TUBIGAN 19
NSIC 2010 Rc226,TUBIGAN 20
NSIC 2011 Rc238,
NSIC 2011 Rc240,
NSIC 2011 Rc242 SR,
PSB Rc26H,MAGAT
PSB Rc72H,MESTIZO 1
PSB Rc76H,PANAY
NSIC Rc114H,MESTISO 2
NSIC Rc116H,MESTISO 3
NSIC Rc124H,MESTISO 4
NSIC Rc126H,MESTISO 5
NSIC Rc132H,MESTISO 6
NSIC Rc136H,MESTISO 7
NSIC Rc162H,MESTISO 8
NSIC Rc164H,MESTISO 9
NSIC Rc166H,MESTISO 10
NSIC Rc168H,MESTISO 11
NSIC Rc174H,MESTISO 12
NSIC Rc176H,MESTISO 13
NSIC Rc178H,MESTISO 14
NSIC Rc180H,MESTISO 15
NSIC Rc196H,MESTISO 16
NSIC Rc198H,MESTISO 17
NSIC Rc200H,MESTISO 18
NSIC Rc202H,MESTISO 19
NSIC Rc204H,MESTISO 20
NSIC Rc206H,MESTISO 21
NSIC Rc208H,MESTISO 22
NSIC Rc210H,MESTISO 23
NSIC 2010 Rc228H,MESTISO 24
NSIC 2010 Rc230H,MESTISO 25
NSIC 2010 Rc232H,MESTISO 26
NSIC 2010 Rc234H,MESTISO 27
NSIC 2010 Rc236H,MESTISO 28
NSIC 2011 Rc244H,Mestiso 29
NSIC 2011 Rc246H,Mestiso 30
NSIC 2011 Rc248H,Mestiso 31
NSIC 2011 Rc250H,Mestiso 32
NSIC 2011 Rc252H,Mestiso 33
NSIC 2011 Rc254H,Mestiso 34
NSIC 2011 Rc256H,Mestiso 35
NSIC 2011 Rc258H,Mestiso 36
NSIC 2011 Rc260H,Mestiso 37
NSIC 2011 Rc262H,Mestiso 38
NSIC 2011 Rc264H,Mestiso 39
NSIC 2011 Rc266H,Mestiso 40
NSIC 2011 Rc268H,Mestiso 41
NSIC 2011 Rc270H,Mestiso 42
UPL Ri1,
BPI Ri1,
IR65,
NSIC Rc13,MALAGKIT 1
NSIC Rc15,MALAGKIT 2
NSIC Rc17,MALAGKIT 3
NSIC Rc19,MALAGKIT 4
NSIC 2011 Rc21 SR,
PSB Rc12,CALIRAYA
PSB Rc14,RIO GRANDE
PSB Rc36,MA-AYON
PSB Rc38,RINARA
PSB Rc40,CHAYONG
PSB Rc98,LIAN
PSB Rc100,SANTIAGO
PSB Rc102,MAMBURAO
NSIC 2011 Rc272,
NSIC 2011 Rc274,
NSIC 2011 Rc276,
NSIC 2011 Rc278,
NSIC 2011 Rc280,
NSIC 2011 Rc282,
NSIC 2011 Rc284,
NSIC 2011 Rc286,
NSIC 2011 Rc288,
NSIC Rc192,SAHOD ULAN 1
NSIC Rc194,SUBMARINO 1
PSB Rc16,ENNANO
PSB Rc24,CAGAYAN
PSB Rc42,BALIWAG
PSB Rc60,TUGATOG
PSB Rc62,NAGUILIAN
PSB Rc68,SACOBIA
PSB Rc70,BAMBAN
PSB Rc44,GOHANG
PSB Rc46,SUMADEL
PSB Rc92,SAGADA
PSB Rc94,HUNGDUAN
PSB Rc96,IBULAO
NSIC Rc104,BALILI
PSB Rc48,HAGONOY
PSB Rc50,BICOL
PSB Rc84,SIPOCOT
PSB Rc86,MATNOG
PSB Rc88,NAGA
PSB Rc90,BUGUEY
NSIC Rc106,SUMILAO
NSIC Rc108,ANAHAWAN
NSIC Rc182,SALINAS 1
NSIC Rc184,SALINAS 2
NSIC Rc186,SALINAS 3
NSIC Rc188,SALINAS 4
NSIC Rc190,SALINAS 5
NSIC 2011 Rc290,
NSIC 2011 Rc292,
NSIC 2011 Rc294,
NSIC 2011 Rc296,
PSB Rc1,MAKILING
PSB Rc3,GINILINGAN PUTI
PSB Rc5,ARAYAT
PSB Rc7,BANAHAW
NSIC Rc9,APO
NSIC Rc11,CANLAON